hpo_id,alias_en,synonym_type
HP:0000205,Tightly closed lips,layperson
HP:0000206,Inflammation of the tongue,layperson
HP:0000206,Lingual inflammation,unspecified
HP:0000206,Smooth swollen tongue,layperson
HP:0000207,Triangular shaped mouth,layperson
HP:0000207,Triangular shaped oral aperture,unspecified
HP:0000211,Lockjaw,layperson
HP:0000211,Pain of muscles of mastication,unspecified
HP:0000212,Gingival enlargement,unspecified
HP:0000212,Gingival hyperplasia,unspecified
HP:0000212,Gum enlargement,layperson
HP:0000212,Gum hypertrophy,unspecified
HP:0000212,Hypertrophic gingivitis,unspecified
HP:0000214,Labial telangiectasia,unspecified
HP:0000214,Lip telangiectases,unspecified
HP:0000214,Telangiectasia of the lips,unspecified
HP:0000215,Full upper lip,layperson
HP:0000215,Full upper lip vermilion,unspecified
HP:0000215,Increased height of upper lip vermilion,unspecified
HP:0000215,Increased volume of upper lip,layperson
HP:0000215,Increased volume of upper lip vermilion,unspecified
HP:0000215,Plump upper lip,layperson
HP:0000215,Prominent upper lip,layperson
HP:0000215,Thick upper lip,layperson
HP:0000215,Thick vermilion border of upper lip,unspecified
HP:0000217,Dry mouth,layperson
HP:0000217,Dry mouth syndrome,layperson
HP:0000217,Reduced salivation,layperson
HP:0000218,Elevated palate,layperson
HP:0000218,High arched palate,unspecified
HP:0000218,"High, arched palate",unspecified
HP:0000218,High-arched palate,unspecified
HP:0000218,Increased palatal height,layperson
HP:0000218,Palate high-arched,unspecified
HP:0000218,"Palate, high-arched",unspecified
HP:0000219,Decreased height of upper lip vermilion,unspecified
HP:0000219,Decreased volume of upper lip,unspecified
HP:0000219,Decreased volume of upper lip vermilion,unspecified
HP:0000219,Thin upper lip,layperson
HP:0000219,Thin vermilion border of upper lip,unspecified
HP:0000220,Velopharyngeal incompetence,layperson
HP:0000221,Fissured tongue,unspecified
HP:0000221,Grooved tongue,layperson
HP:0000221,Lingua plicata,unspecified
HP:0000221,Lingual furrow,unspecified
HP:0000221,Plicated tongue,unspecified
HP:0000221,Prominent tongue grooves,unspecified
HP:0000221,Scrotal tongue,unspecified
HP:0000222,"Hyperkeratosis, gingival",unspecified
HP:0000224,Decreased taste,layperson
HP:0000224,Decreased taste sensation,layperson
HP:0000225,Bleeding gums,layperson
HP:0000225,Gingival haemorrhage,uk_spelling
HP:0000225,Gingival hemorrhage,unspecified
HP:0000225,Gingivorrhagia,unspecified
HP:0000227,Lingual telangiectasia,unspecified
HP:0000228,Oral cavity teleangiectasia,unspecified
HP:0000230,Gingival inflammation,unspecified
HP:0000230,Inflamed gums,layperson
HP:0000230,Red and swollen gums,layperson
HP:0000232,Drooping lower lip,layperson
HP:0000232,Eclabium of lower lip,unspecified
HP:0000232,Everted lower lip,unspecified
HP:0000232,Everted prominent lower lip,unspecified
HP:0000232,Outward turned lower lip,layperson
HP:0000233,Decreased volume of lip,layperson
HP:0000233,Decreased volume of lip vermillion,unspecified
HP:0000233,Thin lips,layperson
HP:0000233,Thin vermillion,unspecified
HP:0000234,Abnormal head,layperson
HP:0000234,Head abnormality,layperson
HP:0000235,Abnormality of the fontanelles or cranial sutures,unspecified
HP:0000236,Abnormality of the anterior fontanelle,unspecified
HP:0000236,Abnormality of the forehead soft spot,layperson
HP:0000237,Small anterior fontanel,unspecified
HP:0000237,Small forehead fontanel,unspecified
HP:0000238,Hydrocephaly,unspecified
HP:0000238,Nonsyndromal hydrocephalus,unspecified
HP:0000238,Too much cerebrospinal fluid in the brain,layperson
HP:0000239,Enlarged fontanelles,unspecified
HP:0000239,Large fontanel,unspecified
HP:0000239,Large fontanelle,unspecified
HP:0000239,Large fontanels,unspecified
HP:0000239,Persistent wide fontanel,unspecified
HP:0000239,Wide fontanelles,layperson
HP:0000240,Abnormality of cranium size,unspecified
HP:0000242,Biparietal bossing,unspecified
HP:0000242,Bossing of parietal bone,unspecified
HP:0000243,Triangular cranium shape,unspecified
HP:0000243,Triangular skull shape,layperson
HP:0000243,Wedge shaped cranium,unspecified
HP:0000243,Wedge shaped skull,layperson
HP:0000244,Brachy-turricephaly,unspecified
HP:0000244,"High, prominent forehead",layperson
HP:0000244,Turribrachycephaly,unspecified
HP:0000246,Sinus inflammation,layperson
HP:0000248,Short and broad skull,layperson
HP:0000250,Dense skull cap,layperson
HP:0000252,Abnormally small cranium,unspecified
HP:0000252,Abnormally small skull,layperson
HP:0000252,Decreased circumference of cranium,layperson
HP:0000252,Decreased size of cranium,unspecified
HP:0000252,Decreased size of skull,layperson
HP:0000252,Reduced head circumference,layperson
HP:0000252,small cranium,unspecified
HP:0000252,Small head circumference,layperson
HP:0000253,"Microcephaly, postnatal, progressive",unspecified
HP:0000253,"Microcephaly, progressive",unspecified
HP:0000253,Progressively abnormally small cranium,layperson
HP:0000253,Progressively abnormally small skull,layperson
HP:0000256,Increased size of cranium,unspecified
HP:0000256,Increased size of skull,layperson
HP:0000256,Large head,layperson
HP:0000256,Large head circumference,layperson
HP:0000256,Macrocephalus,unspecified
HP:0000256,Macrocrania,unspecified
HP:0000256,Megacephaly,unspecified
HP:0000260,Large anterior fontanel,unspecified
HP:0000260,Large anterior fontanelle,unspecified
HP:0000260,Large open anterior fontanel,unspecified
HP:0000260,Large open anterior fontanelle,unspecified
HP:0000260,Wide anterior fontanelle,unspecified
HP:0000260,Wide open anterior fontanelle,unspecified
HP:0000260,Wider-than-typical soft spot of skull,layperson
HP:0000262,Tall shaped cranium,unspecified
HP:0000262,Tall shaped skull,layperson
HP:0000262,Tower cranium shape,unspecified
HP:0000262,Tower skull shape,layperson
HP:0000262,Turricephalus,unspecified
HP:0000264,Abnormality of mastoid process of temporal bone,unspecified
HP:0000264,Abnormality of the mastoid,unspecified
HP:0000267,Asymmetry of cranium,unspecified
HP:0000267,Cranial vault asymmetry,unspecified
HP:0000268,"Long, narrow head",layperson
HP:0000268,Tall and narrow skull,layperson
HP:0000269,Prominent back of the skull,layperson
HP:0000269,Prominent posterior cranium,unspecified
HP:0000269,Prominent posterior skull,layperson
HP:0000269,Protruding occiput,unspecified
HP:0000270,Broad late closing cranial sutures,unspecified
HP:0000270,Delayed closure of fontanel,unspecified
HP:0000270,Delayed closure of fontanelles,unspecified
HP:0000270,Delayed closure of fontanels,unspecified
HP:0000270,Delayed closure of the fontanelles,unspecified
HP:0000270,Delayed fontanel closure,unspecified
HP:0000270,Delayed fontanelle closure,unspecified
HP:0000270,Late closing fontanelles,unspecified
HP:0000270,Late closure of fontanelle,unspecified
HP:0000270,Late-closing fontanelle,unspecified
HP:0000270,Open sutures,unspecified
HP:0000271,Abnormal face,layperson
HP:0000271,Facial abnormality,layperson
HP:0000272,Decreased size of malar bone,unspecified
HP:0000272,Depressed malar region,unspecified
HP:0000272,Flat cheekbone,unspecified
HP:0000272,Malar hypoplasia,unspecified
HP:0000272,Underdevelopment of malar bone,unspecified
HP:0000272,Zygomatic flattening,layperson
HP:0000274,Facial hypoplasia,unspecified
HP:0000274,Hypoplasia of face,unspecified
HP:0000274,Microface,unspecified
HP:0000274,Microfacies,unspecified
HP:0000274,Short and narrow face,layperson
HP:0000274,Small facies,layperson
HP:0000275,Decreased breadth of face,layperson
HP:0000275,Decreased horizontal dimension of face,unspecified
HP:0000275,Decreased transverse dimension of face,unspecified
HP:0000275,Decreased width of face,layperson
HP:0000275,Horizontal deficiency of face,unspecified
HP:0000275,Horizontal hypoplasia of face,unspecified
HP:0000275,Horizontal insufficiency of face,unspecified
HP:0000275,Narrow facies,unspecified
HP:0000275,Thin facies,unspecified
HP:0000275,Transverse deficiency of face,unspecified
HP:0000275,Transverse hypoplasia of face,unspecified
HP:0000275,Transverse insufficiency of face,unspecified
HP:0000276,Elongation of face,layperson
HP:0000276,Increased height of face,layperson
HP:0000276,Increased length of face,layperson
HP:0000276,Increased vertical dimension of face,unspecified
HP:0000276,Long facies,unspecified
HP:0000276,Vertical elongation of face,layperson
HP:0000276,Vertical enlargement of face,layperson
HP:0000276,Vertical excess of face,unspecified
HP:0000276,Vertical Facial Excess,unspecified
HP:0000276,Vertical hyperplasia of face,unspecified
HP:0000276,Vertical overgrowth of face,layperson
HP:0000277,Abnormality of the lower jaw bone,layperson
HP:0000277,Abnormality of the mandible,layperson
HP:0000278,Lower jaw retrognathia,unspecified
HP:0000278,Lower jaw retrusion,unspecified
HP:0000278,Mandibular retrognathia,unspecified
HP:0000278,Mandibular retrusion,unspecified
HP:0000278,Receding chin,layperson
HP:0000278,Receding lower jaw,layperson
HP:0000278,Receding mandible,unspecified
HP:0000278,Retrognathia of lower jaw,unspecified
HP:0000278,Retrusion of lower jaw,unspecified
HP:0000278,Weak chin,layperson
HP:0000278,Weak jaw,layperson
HP:0000280,Coarse face,unspecified
HP:0000280,Coarse facial appearance,layperson
HP:0000280,Coarse facies,unspecified
HP:0000282,Facial oedema,uk_spelling
HP:0000282,Facial puffiness,layperson
HP:0000282,Facial swelling,layperson
HP:0000282,Swelling of the face,unspecified
HP:0000283,Broad facies,unspecified
HP:0000283,Horizontal excess of face,unspecified
HP:0000283,Horizontal hyperplasia of face,unspecified
HP:0000283,Increased breadth of face,layperson
HP:0000283,Increased horizontal dimension of face,unspecified
HP:0000283,Increased transverse dimension of face,unspecified
HP:0000283,Increased width of face,layperson
HP:0000283,Transverse excess of face,unspecified
HP:0000283,Transverse hyperplasia of face,unspecified
HP:0000283,Wide face,layperson
HP:0000283,Wide facies,unspecified
HP:0000286,Epicanthal fold,unspecified
HP:0000286,Epicanthal folds,unspecified
HP:0000286,Epicanthic folds,unspecified
HP:0000286,Eye folds,layperson
HP:0000286,Palpebronasal fold,unspecified
HP:0000286,Plica palpebronasalis,unspecified
HP:0000286,Prominent eye folds,layperson
HP:0000287,Increased amount of facial adipose tissue,unspecified
HP:0000287,Increased amount of facial fat,layperson
HP:0000287,Increased volume of facial adipose tissue,unspecified
HP:0000288,Abnormal philtrum,unspecified
HP:0000288,Abnormality of the infranasal depression,unspecified
HP:0000288,Abnormality of the paralabial region,unspecified
HP:0000289,Increased breadth of philtrum,unspecified
HP:0000289,Increased horizontal dimension of philtrum,unspecified
HP:0000289,Increased transverse dimension of philtrum,unspecified
HP:0000289,Increased width of philtrum,unspecified
HP:0000289,Wide philtrum,unspecified
HP:0000290,Abnormality of the forehead,layperson
HP:0000290,Abnormality of the frontal region of the face,unspecified
HP:0000291,Abnormality of facial fat,layperson
HP:0000292,Decreased amount of facial adipose tissue,unspecified
HP:0000292,Decreased amount of facial fat,layperson
HP:0000292,Decreased volume of facial adipose tissue,unspecified
HP:0000292,Loss of facial fat,layperson
HP:0000292,Loss of facial subcutaneous adipose tissue,unspecified
HP:0000292,Loss of subcutaneous adipose tissue from face,unspecified
HP:0000293,Apple cheeks,layperson
HP:0000293,Big cheeks,layperson
HP:0000293,Increased size of cheeks,layperson
HP:0000293,Large cheeks,layperson
HP:0000294,Low frontal hairline,layperson
HP:0000294,Low-set frontal hairline,layperson
HP:0000295,Doll-like facial appearance,layperson
HP:0000297,Decreased facial muscle tone,layperson
HP:0000297,Hypotonic facies,unspecified
HP:0000297,Low facial muscle tone,layperson
HP:0000297,Reduced facial muscle tone,layperson
HP:0000298,Amimia,unspecified
HP:0000298,Expressionless face,layperson
HP:0000298,Lack of facial expression,layperson
HP:0000298,Mask-like facial appearance,layperson
HP:0000298,Masklike facies,unspecified
HP:0000300,Oval facial shape,layperson
HP:0000300,Oval facies,unspecified
HP:0000301,Abnormality of facial muscles,layperson
HP:0000301,Facial muscle issue,layperson
HP:0000303,Big lower jaw,layperson
HP:0000303,Big mandible,unspecified
HP:0000303,Enlarged mandible,unspecified
HP:0000303,Enlargement of mandible,unspecified
HP:0000303,Hyperplasia of lower jaw,unspecified
HP:0000303,Increased projection of lower jaw,layperson
HP:0000303,Increased projection of mandible,unspecified
HP:0000303,Increased size of lower jaw,layperson
HP:0000303,Large lower jaw,layperson
HP:0000303,Large mandible,unspecified
HP:0000303,Lower jaw excess,unspecified
HP:0000303,Lower jaw hyperplasia,unspecified
HP:0000303,Macromandible,unspecified
HP:0000303,Mandible prognathism,unspecified
HP:0000303,Mandibular excess,unspecified
HP:0000303,Mandibular hyperplasia,unspecified
HP:0000303,Mandibular macrognathia,unspecified
HP:0000303,Mandibular prognathism,unspecified
HP:0000303,Prognathia,unspecified
HP:0000303,Prognathism,unspecified
HP:0000303,Prominent chin,layperson
HP:0000303,Prominent jaw,unspecified
HP:0000303,Prominent lower jaw,layperson
HP:0000303,Prominent mandible,unspecified
