disease_id,disease_name,tier,has_mendelian_gene,genes,pathogenic_variants,pathogenic_snv,snv_at_panel_position,allele_match,strand_flip_match,best_review_stars_matched,matched_variation_ids
OMIM:618687,Intellectual developmental disorder with short stature and behavioral abnormalities,snv_fora_do_painel,True,IQSEC1,2,2,0,0,0,,
OMIM:618688,"Leukodystrophy, hypomyelinating, 19, transient infantile",snv_fora_do_painel,True,TMEM63A,10,9,0,0,0,,
OMIM:618695,"Ciliary dyskinesia, primary, 42",snv_fora_do_painel,True,MCIDAS,5,4,0,0,0,,
OMIM:618697,Retinitis pigmentosa 87 with choroidal involvement,snv_fora_do_painel,True,RPE65,44,33,0,0,0,,
OMIM:618699,"Ciliary dyskinesia, primary, 43",snv_fora_do_painel,True,FOXJ1,8,2,0,0,0,,
OMIM:618702,Short stature and microcephaly with genital anomalies,snv_fora_do_painel,True,CENPT,1,1,0,0,0,,
OMIM:618707,Neurodevelopmental disorder with absent language and variable seizures,snv_fora_do_painel,True,WASF1,9,4,0,0,0,,
OMIM:618709,Neurodevelopmental disorder with nonspecific brain abnormalities and with or without seizures,snv_fora_do_painel,True,DLL1,36,17,0,0,0,,
OMIM:618718,"Neurodevelopmental disorder with behavioral abnormalities, absent speech, and hypotonia",snv_fora_do_painel,True,NTNG2,7,6,0,0,0,,
OMIM:618719,"Megabladder, congenital",snv_fora_do_painel,True,MYOCD,10,6,0,0,0,,
OMIM:618721,"Epileptic encephalopathy, early infantile, 82",snv_fora_do_painel,True,GOT2,4,3,0,0,0,,
OMIM:618723,Premature ovarian failure 16,sem_snv,True,BNC1,1,0,0,0,0,,
OMIM:618724,Heyn-Sproul-Jackson syndrome,snv_fora_do_painel,True,DNMT3A,10,7,0,0,0,,
OMIM:618725,Intellectual developmental disorder with behavioral abnormalities and craniofacial dysmorphism with or without seizures,snv_fora_do_painel,True,PHF21A,22,14,0,0,0,,
OMIM:618727,"Ectodermal dysplasia with facial dysmorphism and acral, ocular, and brain anomalies, somatic mosaic",snv_fora_do_painel,True,RHOA,2,2,0,0,0,,
OMIM:618728,"Spondyloepimetaphyseal dysplasia, Isidor-Toutain type",snv_fora_do_painel,True,RPL13,8,7,0,0,0,,
OMIM:618729,Liang-Wang syndrome,snv_fora_do_painel,True,KCNMA1,7,7,0,0,0,,
OMIM:618730,"Neurodevelopmental disorder with microcephaly, cortical malformations, and spasticity",snv_fora_do_painel,True,TMX2,7,4,0,0,0,,
OMIM:618731,Neurodevelopmental disorder with brain anomalies and with or without vertebral or cardiac anomalies,snv_fora_do_painel,True,DHX37,5,5,0,0,0,,
OMIM:618732,Poirier-Bienvenu neurodevelopmental syndrome,snv_fora_do_painel,True,CSNK2B,73,52,0,0,0,,
OMIM:618733,Neuromuscular disease and ocular or auditory anomalies with or without seizures,snv_fora_do_painel,True,DHX16,6,6,0,0,0,,
OMIM:618734,"Aneurysm, intracranial berry, 12",snv_fora_do_painel,True,THSD1,1,1,0,0,0,,
OMIM:618736,Structural brain anomalies with impaired intellectual development and craniosynostosis,snv_fora_do_painel,True,ZIC1,5,4,0,0,0,,
OMIM:618737,"Pachygyria, microcephaly, developmental delay, and dysmorphic facies, with or without seizures",snv_fora_do_painel,True,TUBGCP2,2,2,0,0,0,,
OMIM:618741,"Neurodevelopmental disorder with epilepsy, spasticity, and brain atrophy",snv_fora_do_painel,True,TRAPPC4,4,2,0,0,0,,
OMIM:618744,"Epileptic encephalopathy, early infantile, 83",snv_fora_do_painel,True,UGP2,1,1,0,0,0,,
OMIM:618745,Spermatogenic failure 42,snv_fora_do_painel,True,TTC29,8,6,0,0,0,,
OMIM:618748,Intellectual developmental disorder with hypotonia and behavioral abnormalities,snv_fora_do_painel,True,CDK8,13,13,0,0,0,,
OMIM:618751,Spermatogenic failure 43,snv_fora_do_painel,True,SPEF2,8,3,0,0,0,,
OMIM:618752,"Neutropenia, severe congenital, 8, autosomal dominant",snv_fora_do_painel,True,SRP54,7,6,0,0,0,,
OMIM:618760,Neurodevelopmental disorder with hypotonia and autistic features with or without hyperkinetic movements,snv_fora_do_painel,True,VAMP2,8,5,0,0,0,,
OMIM:618761,Catifa syndrome,snv_fora_do_painel,True,RIC1,1,1,0,0,0,,
